product_id,product_type,face,,Tipo de producto,Modelo,Color,Forma,Codificación
31292,P-GG-IN-RC,GOOGLE,,,,,,
31293,P-GG-IN-RC,GOOGLE,,,,,,
31294,P-GG-IN-RC,GOOGLE,,,,,,
31295,P-GG-IN-RC,GOOGLE,,,,,,
31296,P-GG-IN-RC,GOOGLE,,,,,,
31297,P-GG-IN-RC,GOOGLE,,,,,,
31298,P-GG-IN-RC,GOOGLE,,,,,,
31299,P-GG-IN-RC,GOOGLE,,,,,,
31300,P-GG-IN-RC,GOOGLE,,,,,,
31301,P-GG-IN-RC,GOOGLE,,,,,,
31302,P-GG-IN-RC,GOOGLE,,,,,,
31303,P-GG-IN-RC,GOOGLE,,,,,,
31304,P-GG-IN-RC,GOOGLE,,,,,,
31305,P-GG-IN-RC,GOOGLE,,,,,,
31306,P-GG-IN-RC,GOOGLE,,,,,,
31307,P-GG-IN-RC,GOOGLE,,,,,,
31308,P-GG-IN-RC,GOOGLE,,,,,,
31309,P-GG-IN-RC,GOOGLE,,,,,,
31310,P-GG-IN-RC,GOOGLE,,,,,,
31311,P-GG-IN-RC,GOOGLE,,,,,,
31312,P-GG-IN-RC,GOOGLE,,,,,,
31313,P-GG-IN-RC,GOOGLE,,,,,,
31314,P-GG-IN-RC,GOOGLE,,,,,,
31315,P-GG-IN-RC,GOOGLE,,,,,,
31316,P-GG-IN-RC,GOOGLE,,,,,,
31317,P-GG-IN-RC,GOOGLE,,,,,,
31318,P-GG-IN-RC,GOOGLE,,,,,,
31319,P-GG-IN-RC,GOOGLE,,,,,,
31320,P-GG-IN-RC,GOOGLE,,,,,,
31321,P-GG-IN-RC,GOOGLE,,,,,,
31322,P-GG-IN-RC,GOOGLE,,,,,,
31323,P-GG-IN-RC,GOOGLE,,,,,,
31324,P-GG-IN-RC,GOOGLE,,,,,,
31325,P-GG-IN-RC,GOOGLE,,,,,,
31326,P-GG-IN-RC,GOOGLE,,,,,,
31327,P-GG-IN-RC,GOOGLE,,,,,,
31328,P-GG-IN-RC,GOOGLE,,,,,,
31329,P-GG-IN-RC,GOOGLE,,,,,,
31330,P-GG-IN-RC,GOOGLE,,,,,,
31331,P-GG-IN-RC,GOOGLE,,,,,,
31332,P-GG-IN-RC,GOOGLE,,,,,,
31333,P-GG-IN-RC,GOOGLE,,,,,,
31334,P-GG-IN-RC,GOOGLE,,,,,,
31335,P-GG-IN-RC,GOOGLE,,,,,,
31336,P-GG-IN-RC,GOOGLE,,,,,,
31337,P-GG-IN-RC,GOOGLE,,,,,,
31338,P-GG-IN-RC,GOOGLE,,,,,,
31339,P-GG-IN-RC,GOOGLE,,,,,,
31340,P-GG-IN-RC,GOOGLE,,,,,,
31341,P-GG-IN-RC,GOOGLE,,,,,,
31342,P-GG-IN-RC,GOOGLE,,,,,,
31343,P-GG-IN-RC,GOOGLE,,,,,,
31344,P-GG-IN-RC,GOOGLE,,,,,,
31345,P-GG-IN-RC,GOOGLE,,,,,,
31346,P-GG-IN-RC,GOOGLE,,,,,,
31347,P-GG-IN-RC,GOOGLE,,,,,,
31348,P-GG-IN-RC,GOOGLE,,,,,,
31349,P-GG-IN-RC,GOOGLE,,,,,,
31350,P-GG-IN-RC,GOOGLE,,,,,,
31351,P-GG-IN-RC,GOOGLE,,,,,,
31352,P-GG-IN-RC,GOOGLE,,,,,,
31353,P-GG-IN-RC,GOOGLE,,,,,,
31354,P-GG-IN-RC,GOOGLE,,,,,,
